x,y,z
691052.7922443595,5336006.788578253,-24
691052.9347531658,5336007.153577494,-24
691053.0764334226,5336007.516455889,-24
691053.2172733856,5336007.877183661,-24
691053.3572613113,5336008.235731032,-24
691053.4963854556,5336008.592068227,-24
691053.6346340748,5336008.946165471,-24
691053.7719954249,5336009.297992988,-24
691053.9084577619,5336009.647520999,-24
691054.0440093421,5336009.99471973,-24
691054.1786384216,5336010.339559406,-24
691054.3123332565,5336010.68201025,-24
691054.4833908671,5336011.120170135,-24
691054.6863491499,5336011.640053644,-24
691054.8869655958,5336012.15395147,-24
691055.0617010347,5336012.601563446,-24
691055.1931263158,5336012.938224726,-24
691055.3237129238,5336013.2727287235,-24
691055.4534706866,5336013.605100782,-24
691055.5824094322,5336013.935366247,-24
691055.7105389884,5336014.26355046,-24
691055.8378691835,5336014.589678769,-24
691055.9644098454,5336014.913776518,-24
691056.090170802,5336015.23586905,-24
691056.2151618815,5336015.555981712,-24
691056.3393929118,5336015.874139847,-24
691056.4628737208,5336016.1903687995,-24
691056.5956012987,5336016.530269636,-24
691056.7438586168,5336016.909929854,-24
691056.8910536788,5336017.286858851,-24
691057.0372041782,5336017.661102253,-24
691057.1823278073,5336018.032705685,-24
691057.326442259,5336018.401714776,-24
691057.4695652263,5336018.76817515,-24
691057.6117144021,5336019.132132436,-24
691057.7529074791,5336019.493632259,-24
691057.8931621498,5336019.852720248,-24
691058.0324961076,5336020.209442026,-24
691058.170927045,5336020.563843221,-24
691058.3084726548,5336020.915969461,-24
691058.455424437,5336021.292167094,-24
691058.6022779588,5336021.668104052,-24
691058.7481604955,5336022.041546548,-24
691058.893094456,5336022.412552371,-24
691059.0371022493,5336022.781179309,-24
691059.1802062842,5336023.147485151,-24
691059.3224289691,5336023.511527684,-24
691059.463792713,5336023.873364696,-24
691059.6043199251,5336024.233053977,-24
691059.7440330139,5336024.590653314,-24
691059.8829543883,5336024.946220496,-24
691060.0247521589,5336025.30914422,-24
691060.1710427208,5336025.6835615225,-24
691060.316513874,5336026.055876531,-24
691060.4611926875,5336026.42615905,-24
691060.6051062301,5336026.794478888,-24
691060.7482815705,5336027.160905847,-24
691060.8907457775,5336027.525509735,-24
691061.0325259198,5336027.888360357,-24
691061.1736490662,5336028.249527519,-24
691061.3141422857,5336028.609081023,-24
691061.4540326468,5336028.967090679,-24
691061.5998291827,5336029.340215013,-24
691061.7493906524,5336029.722974709,-24
691061.8983496742,5336030.104193371,-24
691062.0467401724,5336030.483958482,-24
691062.194596071,5336030.862357526,-24
691062.3419512939,5336031.239477986,-24
691062.4888397654,5336031.615407348,-24
691062.6352954096,5336031.990233095,-24
691062.7813521503,5336032.364042711,-24
691062.895332452,5336032.655783773,-24
691063.0281377252,5336032.995772268,-24
691063.1751209752,5336033.372132455,-24
691063.3204333284,5336033.744286552,-24
691063.4641539381,5336034.112428826,-24
691063.606361957,5336034.476753548,-24
691063.7471365385,5336034.837454981,-24
691063.8865568351,5336035.194727399,-24
691064.0249306724,5336035.549351129,-24
691064.1710229717,5336035.923782586,-24
691064.3158497916,5336036.294988405,-24
691064.459507305,5336036.663204628,-24
691064.6020916848,5336037.028667294,-24
691064.7436991044,5336037.391612447,-24
691064.8844257368,5336037.752276125,-24
691065.024367755,5336038.110894374,-24
691065.168377737,5336038.479889618,-24
